itemid,locationid,transactiondate,transferquantity
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-08-11,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2019-12-04,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-08-08,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-11-05,-5
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-12-08,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-05-10,-3
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-06-01,-45
a0W5700000OaJ2cEAF,a0XD000000SKq1hMAD,2020-03-04,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-04-02,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-01-06,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-05-28,433
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2019-06-27,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-05-25,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-09-20,-1
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2019-07-18,-1
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2018-12-21,-11
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2018-07-12,-1
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-03,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-01-23,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-08-27,-15
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-30,-3
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-09-09,-8
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-09-13,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-12,-3
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-05-07,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-09-09,202
a0W5700000OaJ2cEAF,a0X57000011fDIhEAM,2020-01-10,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-04-14,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-12,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-03-22,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-04-16,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-09,-15
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-06-09,-2
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2018-07-05,-10
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-14,-20
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-11-22,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-08-21,1
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-04-22,8
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-02-27,-10
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-04-23,0
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2020-02-28,-1
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-09-20,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-11-20,-3
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2018-06-28,-4
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-09-28,-4
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-03-10,71
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-08-26,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-04-20,-7
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-04-03,-20
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-05,-15
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-07-09,99
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2019-11-04,-4
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-06,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-01-15,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-04-30,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-06,-11
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-11-07,-1
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-12-10,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-07-16,-2
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-17,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-12,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-28,-16
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-11,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-12-17,-1
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2020-03-19,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-02-11,-3
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-10-23,-11
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-07-31,-5
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-10-04,-30
a0W5700000OaJ2cEAF,a0XD000000SKq1hMAD,2019-06-17,-10
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-24,-1
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-11-01,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-05-19,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-11-26,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-10-22,47
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2018-06-07,-4
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-08-22,-11
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-02-12,-2
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,2019-09-02,0
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2018-08-24,0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-02-28,-8
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-19,-3
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-07,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-22,-7
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-05-18,-1
