ItemId,LocationId,BalanceDate,MA30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-22,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-23,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-24,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-25,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-26,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-27,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-28,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-29,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-30,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-31,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-01,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-02,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-03,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-04,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-05,13.97
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-06,13.93
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-07,13.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-08,13.87
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-09,13.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-10,13.80
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-11,13.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-12,13.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-13,13.70
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-14,13.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-15,13.63
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-16,13.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-17,13.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-18,13.53
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-19,13.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-20,13.47
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-21,13.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-22,13.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-23,13.37
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-24,13.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-25,13.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-26,13.23
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-27,13.17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-28,13.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-01,13.03
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-02,12.97
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-03,12.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-04,12.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-05,12.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-06,12.80
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-07,12.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-08,12.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-09,12.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-10,12.53
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-11,12.47
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-12,12.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-13,12.37
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-14,12.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-15,12.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-16,12.27
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-17,12.23
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-18,12.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-19,12.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-20,12.53
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-21,12.63
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-22,12.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-23,12.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-24,12.93
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-25,13.03
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-26,13.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-27,13.23
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-28,13.37
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-29,13.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-30,13.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-31,13.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-01,13.63
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-02,13.70
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-03,13.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-04,13.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-05,13.80
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-06,13.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-07,14.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-08,14.07
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-09,14.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-10,14.20
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-11,14.27
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-12,14.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-13,14.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-14,14.37
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-15,14.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-16,14.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-17,14.47
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-18,14.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-19,14.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-20,14.37
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-21,14.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-22,14.30
